round,train_loss,Kappa,OA_total,MIoU_mean,F1_mean,OA_roads,MIoU_roads,F1_roads,OA_buildings,MIoU_buildings,F1_buildings,OA_low veg.,MIoU_low veg.,F1_low veg.,OA_trees,MIoU_trees,F1_trees,OA_cars,MIoU_cars,F1_cars,OA_clutter,MIoU_clutter,F1_clutter
23,0.14769803030788897,0.8813170521782511,91.18905059630296,0.8166705510265541,0.8962059507111582,0.9314748150900275,0.8576761734354769,0.923386094627398,0.9679688921909065,0.9385797904144507,0.968316904009188,0.7730252074785287,0.6593415893006425,0.794702662251156,0.9146324861818083,0.8291060784437136,0.9065697044199369,0.9018610814046557,0.7986491235384863,0.8880543882481116,0.0,0.0,0.0
24,0.14398212128132581,0.8858561699255222,91.52064397608848,0.8208953200855336,0.8990568263342732,0.9180447364011686,0.8596115181833844,0.924506553952861,0.9742265598391429,0.938938038942482,0.9685075232776279,0.8007286294531661,0.6747339421843158,0.8057804588402577,0.9174304992760816,0.8393692856455541,0.9126707640450406,0.8783201167631847,0.7918238154719315,0.8838188315555796,0.0,0.0,0.0
25,0.14195530930161476,0.8845806196283067,91.43070002135461,0.8182749184620152,0.8972139292326198,0.9268558904246451,0.8628454857000243,0.9263736496919198,0.9690334425175093,0.9406169245702845,0.9693998982087282,0.777086929111072,0.6650360592054385,0.7988248128665709,0.926069942359701,0.83386040596755,0.90940444894725,0.8782461308743115,0.7890157168667783,0.8820668364486297,0.09893822393822393,0.06698616708419562,0.12556145365455287
26,0.13906656114012003,0.8905827153968964,91.87103507672813,0.8236159623946546,0.9004578299605782,0.9265205703563322,0.8705165788264283,0.9307766514131566,0.9803510895459608,0.9498246902265136,0.974266758429622,0.805673663576451,0.6759761987071502,0.8066656307274518,0.9118845554958613,0.8394654752012641,0.9127276227996771,0.8649690268165218,0.7822968690119169,0.8778524864329841,0.0,0.0,0.0
27,0.13848851545155047,0.8882771484870151,91.69304786970005,0.8237602355447118,0.9005732934348879,0.9143087588057943,0.8672876142188105,0.9289277212730239,0.9800886860963236,0.9493955807030249,0.9740409695200369,0.8172146029055607,0.6733587048869336,0.8047989984698846,0.9105393875376756,0.8352215943332124,0.9102133463470626,0.8718362625019337,0.7935376835815778,0.8848854315644318,0.0027348777348777348,0.0021332664073283976,0.004257450538442274
28,0.1393616797104478,0.8884302599142481,91.71354264630388,0.8216160664467103,0.8993318969573686,0.9206296773871261,0.8663149208679678,0.9283694956101732,0.9772876260822759,0.9447083697343458,0.9715681635734373,0.7949464465964564,0.6745211263323808,0.805628684792709,0.9224599113086078,0.8387670813502508,0.9123146589445401,0.8767865910665402,0.7837688339486057,0.8787784818659835,0.0,0.0,0.0
29,0.13237682618945837,0.8850038593606112,91.46068133959923,0.8204865060702986,0.8987569367168053,0.9229673432389088,0.8606919468903733,0.9251310495848379,0.9679945240106532,0.9390460639238171,0.9685649881092367,0.7846419380509937,0.6715313832599222,0.8034924022189291,0.9277697848277621,0.8350344557975544,0.9101022088815508,0.8838556064488791,0.7961286804798255,0.8864940347894721,0.0,0.0,0.0
30,0.13072975473105908,0.8867503736851469,91.59285369823803,0.820663441533163,0.8985043240963625,0.9204423477400239,0.8658025363563797,0.9280752056936921,0.9785345495724004,0.9484937806350042,0.9735661361217124,0.7780401762490914,0.6638866866383113,0.7979950701806705,0.9277135559420501,0.8336970713159664,0.9093073052875167,0.8687086771995668,0.7914371327201535,0.8835779031982213,0.0,0.0,0.0
31,0.12856805810332297,0.8865068458992612,91.57558898441113,0.8215046884706675,0.8991935121793082,0.9272738436817353,0.8647249947252296,0.9274557880344692,0.982984344121379,0.9435116616968927,0.9709349115745531,0.7845602902115609,0.667599168048123,0.8006710255552942,0.9085538476948434,0.8356282235907907,0.9104547564170314,0.9011212225159237,0.7960593942923012,0.8864510793151931,0.06676319176319176,0.043505608554355805,0.08338356439622262
32,0.12653245401382446,0.884694389154243,91.43623807995112,0.8182212623007864,0.8971569701372394,0.9056999208011881,0.863605239926455,0.9268113454762943,0.9802157387855718,0.9441176407902112,0.9712556699053074,0.7877955427858794,0.6664364330932493,0.7998342089247364,0.928917354920369,0.8297521202290399,0.9069557685498683,0.8715335929565434,0.787194877464977,0.8809278578299902,0.0,0.0,0.0
33,0.12619775573909284,0.8886540135717941,91.7229443351572,0.8229056608923816,0.9001202166987756,0.9238873399502328,0.86943045513406,0.9301554414568599,0.9745070346437094,0.9473425130686014,0.9729593091210126,0.8136124518122719,0.676505004435688,0.8070420340479684,0.9106661870896657,0.8341814504147096,0.9095953404458437,0.8681436940481715,0.7870688814088492,0.880848958422193,0.0,0.0,0.0
34,0.12272711183130741,0.8909828002243201,91.90364683138478,0.8257919374488353,0.901826796328686,0.9200527020740514,0.8708189198917019,0.9309494474666868,0.9809856153858778,0.9494022325930024,0.9740444703709532,0.7957456997082037,0.6761975049577066,0.8068231851648869,0.9255447600142052,0.8397470904078262,0.9128940546079898,0.8798334644901363,0.7927939393939394,0.884422824032913,0.0,0.0,0.0
35,0.12137416288256646,0.8871684421490746,91.6220487139853,0.8225086433760944,0.8998595586873692,0.9285164636741796,0.8651217579014592,0.9276839479636445,0.9730519217687357,0.9439788979000763,0.9711822478317852,0.7871592408473461,0.6706442443018302,0.8028570374443728,0.9204261102359337,0.8363724635789453,0.9108963243207441,0.8797662045911607,0.7964258531981612,0.8866782358762998,0.0,0.0,0.0
36,0.11811557158827782,0.8905470087355942,91.87005078439331,0.8248070148022257,0.9012516224883029,0.9213461092152657,0.8706746638305624,0.9308670082137,0.9808779248626255,0.9483258793666143,0.9734776809256445,0.7978203127422305,0.67674262231224,0.8072110928736422,0.9209442355148016,0.8386824257788027,0.9122645803541257,0.8974421060419567,0.7896094827229097,0.8824377500744023,0.0,0.0,0.0
37,0.11911669041961431,0.8891338894847045,91.77546255375778,0.8231929765480098,0.9000458517570304,0.9238396749622478,0.871709115991012,0.9314578943314801,0.979190650397284,0.9490618850090874,0.9738653167543343,0.7658525998118999,0.66610894106846,0.7995983031473207,0.9385397790910498,0.8349846239594033,0.9100726110257328,0.8701951209669283,0.7941003167120866,0.8852351335262845,0.0,0.0,0.0
